Hour,Load,Existing Onshore Wind,Existing Fixed PV,Existing Single Axis PV,Existing Rooftop PV,Proposed Onshore Wind,Proposed Single Axis PV,Proposed Rooftop PV
1,"2,122.65",602.11,0.00,0.00,0.00,"3,367.28",0.00,0.00
2,"2,024.96",566.72,0.00,0.00,0.00,"3,274.07",0.00,0.00
3,"1,941.53",508.85,0.00,0.00,0.00,"3,038.76",0.00,0.00
4,"1,898.83",439.64,0.00,0.00,0.00,"2,474.87",0.00,0.00
5,"1,878.31",411.85,0.00,0.00,0.00,"1,903.88",0.00,0.00
6,"1,804.13",397.29,0.22,4.43,23.88,"1,473.87",79.54,23.88
7,"1,687.66",432.01,0.31,20.10,17.03,"1,640.17",347.97,17.03
8,"1,511.27",399.13,2.21,87.52,277.12,"1,668.80","1,771.73",277.12
9,"1,300.43",335.68,4.82,118.32,644.77,"1,426.89","2,481.62",644.77
10,"1,150.34",261.66,7.09,127.68,969.82,"1,205.72","2,708.14",969.82
11,"1,067.39",180.58,8.73,133.94,"1,211.64","1,021.94","2,833.20","1,211.64"
12,"1,076.38",137.58,9.74,136.11,"1,350.69",976.48,"2,891.26","1,350.69"
13,"1,122.80",138.38,9.80,137.61,"1,422.18","1,261.23","2,938.72","1,422.18"
14,"1,173.02",185.15,9.62,137.96,"1,377.64","1,739.80","2,946.35","1,377.64"
15,"1,304.58",278.90,8.53,137.15,"1,232.87","2,252.15","2,913.06","1,232.87"
16,"1,531.00",367.74,6.77,133.51,990.15,"2,617.31","2,830.55",990.15
17,"1,819.87",463.56,4.40,121.31,658.72,"3,038.85","2,586.12",658.72
18,"2,141.94",512.86,1.77,62.39,282.47,"3,189.48","1,379.09",282.47
19,"2,370.54",555.53,0.80,17.93,115.23,"3,654.06",379.91,115.23
20,"2,414.99",605.59,0.00,0.00,0.11,"4,209.91",0.11,0.11
21,"2,367.24",615.64,0.00,0.00,0.00,"4,589.79",0.00,0.00
22,"2,251.72",623.70,0.00,0.00,0.00,"4,561.63",0.00,0.00
23,"2,119.02",664.61,0.00,0.00,0.00,"4,337.03",0.00,0.00
24,"2,005.21",624.19,0.00,0.00,0.00,"3,923.04",0.00,0.00
25,"1,925.05",533.34,0.00,0.00,0.00,"3,476.71",0.00,0.00
26,"1,873.69",449.20,0.00,0.00,0.00,"3,180.62",0.00,0.00
27,"1,832.35",399.16,0.00,0.00,0.00,"3,076.52",0.00,0.00
28,"1,818.20",410.88,0.00,0.00,0.00,"3,065.83",0.00,0.00
29,"1,819.62",460.29,0.00,0.00,0.00,"2,941.74",0.00,0.00
30,"1,777.09",381.98,0.22,4.76,23.65,"2,269.80",84.97,23.65
31,"1,676.55",254.48,0.15,17.96,5.69,"1,565.43",321.60,5.69
32,"1,514.94",198.76,2.15,90.15,269.38,"1,086.08","1,836.46",269.38
33,"1,323.30",128.66,4.80,119.23,644.75,650.23,"2,512.26",644.75
34,"1,186.29",65.71,7.05,128.07,968.19,309.68,"2,717.65",968.19
35,"1,150.04",21.29,8.65,133.14,"1,198.95",82.60,"2,816.49","1,198.95"
36,"1,222.54",2.33,9.57,135.32,"1,336.55",17.23,"2,875.55","1,336.55"
37,"1,321.63",8.29,9.76,135.86,"1,396.33",245.54,"2,895.26","1,396.33"
38,"1,446.88",49.63,9.30,134.94,"1,362.17",773.31,"2,883.41","1,362.17"
39,"1,618.59",143.26,8.26,134.23,"1,222.78","1,567.72","2,854.87","1,222.78"
40,"1,873.21",235.79,6.58,131.47,984.47,"2,182.93","2,788.76",984.47
41,"2,195.59",288.90,4.31,119.65,658.61,"2,607.79","2,555.51",658.61
42,"2,491.49",284.51,1.77,62.33,284.47,"2,414.52","1,382.49",284.47
43,"2,687.59",310.84,0.79,17.94,100.45,"2,962.45",375.94,100.45
44,"2,677.52",442.97,0.00,0.00,0.11,"3,887.87",0.11,0.11
45,"2,587.42",580.08,0.00,0.00,0.00,"4,096.29",0.00,0.00
46,"2,424.19",608.55,0.00,0.00,0.00,"4,142.08",0.00,0.00
47,"2,274.43",586.02,0.00,0.00,0.00,"3,959.80",0.00,0.00
48,"2,133.10",519.19,0.00,0.00,0.00,"3,564.65",0.00,0.00
49,"2,033.01",454.35,0.00,0.00,0.00,"3,164.94",0.00,0.00
50,"1,946.27",417.09,0.00,0.00,0.00,"2,745.99",0.00,0.00
