Name,Capacity,Constraint,Emissions,Initial,Order,Capex,FOM,VOM,Fuel,Lifetime,Discount Rate
Existing.Battery (8hr),0.00,Existing Battery (8hr),0.033,0.00,1,"499,000","4,600",,,20,
Existing.Battery (4hr),0.00,Existing Battery (4hr),0.033,0.00,1,"562,000","5,100",,,20,
Existing.Battery (2hr),0.00,Existing Battery (2hr),0.033,0.00,1,"694,000","6,100",,,20,
Existing.Battery (1hr),0.00,Existing Battery (1hr),0.033,0.00,1,"960,000","8,100",,,20,
Battery (8hr),0.00,Battery (8hr),0.033,0.00,1,"499,000","4,600",,,20,
Battery (4hr),0.00,Battery (4hr),0.033,0.00,1,"562,000","5,100",,,20,
Battery (2hr),0.00,Battery (2hr),0.033,0.00,1,"694,000","6,100",,,20,
Battery (1hr),0.00,Battery (1hr),0.033,0.00,1,"960,000","8,100",,,20,
Optimised.Battery (8hr),0.00,Optimised.Battery (8hr),0.033,0.00,1,"499,000","4,600",,,20,
Optimised.Battery (4hr),0.00,Optimised.Battery (4hr),0.033,0.00,1,"562,000","5,100",,,20,
Optimised.Battery (2hr),0.00,Optimised.Battery (2hr),0.033,0.00,1,"694,000","6,100",,,20,
Optimised.Battery (1hr),0.00,Optimised.Battery (1hr),0.033,0.00,1,"960,000","8,100",,,20,
PHES (48hr),0.00,PHES (48hr),0.007,0.00,2,"141,000",800,,,50,
PHES (24hr),0.00,PHES (24hr),0.007,0.00,2,"187,000","1,000",,,50,
Hydrogen,0.00,,0.038,0.00,3,"2,174,000","35,600",13.0,246.4,25,
Biomass,22.90,Biomass,0.052,0.00,4,"9,177,000","142,100",9.1,24.8,30,
Black coal,"1,371.10",Coal,0.840,0.00,5,"5,029,000","57,500",4.5,94.5,30,
Distillate,104.10,Gas,0.640,0.00,6,"1,615,000","13,600",13.0,200.0,25,
Gas CCGT,584.70,Gas,0.540,0.00,6,"1,728,000","11,800",4.0,141.2,25,
Existing.Gas OCGT,0.00,Gas,0.780,0.00,6,"1,615,000","13,600",13.0,200.0,25,
Gas OCGT,"2,553.90",Gas,0.780,0.00,6,"1,615,000","13,600",13.0,200.0,25,
Gas Recip,0.00,Gas,0.690,0.00,6,"1,787,000","26,000",8.2,175.6,25,
Existing.Rooftop PV,0.00,,0.043,0.00,0,"1,410,000",,,,25,
Existing.Fixed PV,9.80,,0.043,0.00,0,"1,527,000","18,400",,,30,
Existing.Single Axis PV,141.00,,0.043,0.00,0,"1,527,000","18,400",,,30,
Existing.Onshore Wind,"1,025.00",,0.013,0.00,0,"2,686,000","27,000",,,25,
Rooftop PV,0.00,,0.043,0.00,0,"1,410,000",,,,25,
Fixed PV,9.80,,0.043,0.00,0,"1,527,000","18,400",,,30,
Single Axis PV,141.00,,0.043,0.00,0,"1,527,000","18,400",,,30,
Onshore Wind,"1,025.00",,0.013,0.00,0,"2,686,000","27,000",,,25,
Offshore Wind,0.00,,0.013,0.00,0,"4,991,000","161,900",,,25,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
