length_m,objectid,class,name,revised,ga_guid,capacitykv
89005.03187,1139,Overhead,Muja Terminal to Kojonup (North East),2012/07/10 00:00:00+00,{9172A221-F518-484B-B839-0E1ED4AFC34A},132
87804.20567,1140,Overhead,Muja Terminal to Kojonup,2012/07/10 00:00:00+00,{3F43D3A6-F7FD-4A79-8143-2BC7ECBECB4C},132
3814.785524,1141,Overhead,Collie Power Station to Shotts Terminal,2012/07/10 00:00:00+00,{308F00EA-615E-4C30-A0AF-03F7E7186CCF},330
65909.64857,1142,Overhead,Muja to Bunbury Harbour,2012/07/10 00:00:00+00,{8B9765DA-41D5-44D0-9D48-562B8D505883},132
72065.2655,1143,Overhead,Kemerton Terminal to Muja Terminal,2012/07/10 00:00:00+00,{8ACA1980-222D-4E9A-8DC2-B5A70D772A6E},330
174025.8599,1144,Overhead,Southern Terminal to Shotts Terminal,2012/07/10 00:00:00+00,{D2C88325-C5FD-42AC-9424-141129F30B0C},330
60172.88744,1145,Overhead,Kemerton Terminal to Shotts Terminal,2012/07/10 00:00:00+00,{454E6F81-B7FE-4118-9C10-90985C45A47F},330
30789.5081,1146,Overhead,Southern Terminal to Kemerton Terminal,2012/07/10 00:00:00+00,{A1E611EC-61CB-490A-BE0A-0FE4262A2903},330
18758.70821,1147,Overhead,Southern Terminal to Kwinana Terminal (East),2012/07/10 00:00:00+00,{C9C4DCB4-E9E1-47FC-9BAF-49841CC87D6D},330
17903.61847,1148,Overhead,South Fremantle Terminal to Kwinana Terminal,2012/07/10 00:00:00+00,{48D94F0E-1C28-4434-B717-AB54D9023BF5},132
10233.77446,1149,Overhead,South Fremantle Terminal to Southern Terminal,2012/07/10 00:00:00+00,{BC8BBA66-0972-4F89-AB01-63113A820092},132
10718.61337,1150,Overhead,Southern Terminal to Cockburn Cement,2012/07/10 00:00:00+00,{361386D1-8EB5-4BC4-BE04-972D6CA73537},132
6694.407418,1151,Overhead,Cockburn Cement to Tee,2016/11/22 00:00:00+00,{0826795C-5017-4D3B-BF6E-0792F69A24B5},132
